,mean_forward_position,lateral_position_std,forward_position_std,mean_interstroke_displacement,rightward_displacement_rate,netward_displacement_rate,right_baselineward_displacement_rate,smash_rate,net_attack_rate,lift_clear_rate,smash_after_large_displacement_rate,rear_court_smash_rate
mean_forward_position,1.0,0.4332002102992691,-0.5293454662541703,-0.27686605754152105,-0.38605812410700735,0.19888971141859038,-0.410662960514022,0.24984443725602795,-0.17695127506228242,-0.15096361969940764,-0.38837503433311166,-0.6786378103107679
lateral_position_std,0.4332002102992691,1.0,0.11819386730308581,0.41881910307219256,-0.041486108059235804,0.7317281362582405,-0.23875696654533943,0.1405254586172725,-0.24325945867325907,0.25387051399347743,-0.4202262115350219,-0.08665408335825726
forward_position_std,-0.5293454662541703,0.11819386730308581,1.0,0.7325795942945806,0.18879092377812895,0.32293710014238103,-0.16027119822897568,0.08055403211444222,0.5575825847073643,-0.18599598706158893,0.3863341856830344,0.5601277011400443
mean_interstroke_displacement,-0.27686605754152105,0.41881910307219256,0.7325795942945806,1.0,0.16638610123493952,0.6104703946052941,-0.2960009168355208,0.23162039177950033,0.4850051187685016,0.02205851068469102,0.018868689582731264,0.46332849129955306
rightward_displacement_rate,-0.38605812410700735,-0.041486108059235804,0.18879092377812895,0.16638610123493952,1.0,0.12400653731067389,0.4300911849626542,-0.07431565721346754,-0.2369899496683923,0.2335453177864674,0.33349394401072774,0.13239145028167268
netward_displacement_rate,0.19888971141859038,0.7317281362582405,0.32293710014238103,0.6104703946052941,0.12400653731067389,1.0,-0.28813775614153375,0.3044594529696165,-0.10704882558600419,-0.06524217004547503,-0.34075975053342716,-0.11137837347965503
right_baselineward_displacement_rate,-0.410662960514022,-0.23875696654533943,-0.16027119822897568,-0.2960009168355208,0.4300911849626542,-0.28813775614153375,1.0,-0.3351649701229768,-0.3675130906998652,0.4601860468383905,0.15365067955662529,0.44565768616180007
smash_rate,0.24984443725602795,0.1405254586172725,0.08055403211444222,0.23162039177950033,-0.07431565721346754,0.3044594529696165,-0.3351649701229768,1.0,0.133469235860672,-0.4245967442059735,-0.10246692063293628,-0.011617347225027937
net_attack_rate,-0.17695127506228242,-0.24325945867325907,0.5575825847073643,0.4850051187685016,-0.2369899496683923,-0.10704882558600419,-0.3675130906998652,0.133469235860672,1.0,-0.21086820687848654,0.3966072027171337,0.36248260156650897
lift_clear_rate,-0.15096361969940764,0.25387051399347743,-0.18599598706158893,0.02205851068469102,0.2335453177864674,-0.06524217004547503,0.4601860468383905,-0.4245967442059735,-0.21086820687848654,1.0,-0.19315026147976797,0.26727541914983066
smash_after_large_displacement_rate,-0.38837503433311166,-0.4202262115350219,0.3863341856830344,0.018868689582731264,0.33349394401072774,-0.34075975053342716,0.15365067955662529,-0.10246692063293628,0.3966072027171337,-0.19315026147976797,1.0,0.18754686137194201
rear_court_smash_rate,-0.6786378103107679,-0.08665408335825726,0.5601277011400443,0.46332849129955306,0.13239145028167268,-0.11137837347965503,0.44565768616180007,-0.011617347225027937,0.36248260156650897,0.26727541914983066,0.18754686137194201,1.0
